"emp_no","title","first_name","last_name","from_date","to_date"
73794,"Engineer","Aiichiro","Castellani","1985-08-26","1987-08-19"
73903,"Engineer","Bartek","Cappello","1988-07-28","1993-01-02"
74200,"Senior Engineer","Holgard","Weiland","1991-09-24","9999-01-01"
74237,"Engineer","Jaihie","Vilarrasa","2001-03-03","2001-06-20"
74344,"Engineer","Hiroyasu","Provine","1994-11-25","9999-01-01"
74598,"Senior Staff","Kolar","Garigliano","1992-05-10","1999-03-07"
74668,"Senior Staff","Masako","Bonifati","1987-04-09","9999-01-01"
74800,"Senior Engineer","Yuuichi","Conde","1999-03-08","9999-01-01"
75113,"Senior Engineer","Zissis","Birch","1999-08-19","2000-07-15"
75354,"Senior Engineer","Shuky","Jakobus","1993-06-16","9999-01-01"
75420,"Engineer","Clyde","Vrecion","1997-07-03","2000-09-14"
75703,"Senior Engineer","Kyoichi","Erman","2001-07-25","9999-01-01"
75760,"Technique Leader","Jahangir","Radhakrishnan","1991-04-19","1993-12-29"
75888,"Staff","Marsal","Otillio","1994-01-23","1999-09-16"
76178,"Senior Engineer","Chiradeep","Meriste","1988-05-23","1997-06-25"
76189,"Senior Engineer","Kolar","Hinsberger","1994-10-20","9999-01-01"
76201,"Senior Engineer","Arif","Preusig","1992-04-02","9999-01-01"
76417,"Senior Engineer","Parviz","Duclos","1989-12-27","1993-12-31"
76598,"Engineer","Keung","Ferriere","1991-05-13","1995-10-08"
76640,"Senior Engineer","Tristan","Mitsuhashi","2000-07-12","9999-01-01"
76847,"Senior Engineer","Mariusz","Weiland","1989-08-16","1994-11-09"
77030,"Technique Leader","Faiza","Garnham","1986-03-02","9999-01-01"
77157,"Staff","Tesuro","Nicolson","1996-06-01","1999-10-20"
77303,"Senior Staff","Xinglin","Birge","2001-03-05","9999-01-01"
77647,"Technique Leader","Niranjan","Schaaf","1989-11-05","9999-01-01"
77815,"Engineer","Ronghao","Picaronny","2002-06-09","9999-01-01"
78086,"Staff","Fabrizio","Anick","1997-12-16","1998-05-02"
78106,"Senior Staff","Ashish","Ratnaker","1986-11-10","9999-01-01"
78171,"Senior Staff","Teiji","Hinsberger","1997-01-25","2002-05-18"
78363,"Engineer","Susumu","Fritzsche","1998-06-23","9999-01-01"
78469,"Staff","Leucio","Cappelli","1997-08-22","9999-01-01"
78871,"Senior Engineer","Conor","Ghandeharizadeh","1985-05-25","9999-01-01"
79043,"Technique Leader","Katsuo","Hockney","1999-11-07","9999-01-01"
79171,"Senior Engineer","Guiseppe","Ellozy","1991-01-12","9999-01-01"
79190,"Staff","Tsuneo","Servi","1999-06-30","2001-06-02"
79239,"Senior Engineer","Denny","Griswold","1989-05-18","2001-11-19"
79310,"Senior Staff","Jeong","Cunliffe","1996-10-27","9999-01-01"
79606,"Senior Engineer","Arnd","Peir","1986-12-11","9999-01-01"
79640,"Staff","Marl","Litzkow","1991-10-12","1993-10-22"
79722,"Staff","Make","Remmers","1997-08-07","1998-08-08"
79763,"Senior Staff","Sanjoy","Barreiro","1996-04-09","9999-01-01"
79895,"Senior Staff","Fei","Murtagh","1986-01-19","9999-01-01"
80067,"Senior Staff","Kazuhisa","Weiland","1991-11-09","9999-01-01"
80203,"Staff","Shakhar","Baik","1993-12-01","9999-01-01"
80432,"Senior Staff","Stella","Figueira","1998-03-14","9999-01-01"
80656,"Engineer","Kwan","Gide","1998-06-24","2001-07-01"
80731,"Senior Staff","Shaowen","Eldridge","1994-12-05","9999-01-01"
80745,"Staff","Rimli","Huttel","1989-12-14","1996-11-29"
80850,"Senior Engineer","Koldo","Luit","2001-04-15","9999-01-01"
80889,"Senior Engineer","Shigeo","Linnainmaa","1985-07-30","9999-01-01"
80948,"Senior Engineer","Harjit","Bardell","1996-05-23","9999-01-01"
81105,"Senior Engineer","Jaewon","Boissier","1998-05-24","9999-01-01"
81162,"Senior Engineer","Marco","Klerer","1999-11-01","2001-02-02"
81545,"Technique Leader","Larisa","Kornyak","1996-03-10","9999-01-01"
81619,"Senior Engineer","Gen","Aloisi","1993-03-12","2002-07-25"
81644,"Staff","Divine","Ghandeharizadeh","1997-11-28","9999-01-01"
81995,"Senior Engineer","Sreekrishna","Brender","1996-03-21","9999-01-01"
82069,"Senior Engineer","Yechezkel","Perfilyeva","2000-11-02","9999-01-01"
82098,"Senior Engineer","Poornachandra","Wilharm","1998-04-20","9999-01-01"
82351,"Senior Staff","Stevo","Thambidurai","1989-10-27","9999-01-01"
82511,"Engineer","Uwe","Koblick","1998-04-04","9999-01-01"
82919,"Engineer","Shigeu","Claffy","1998-02-03","9999-01-01"
82928,"Senior Engineer","Alselm","Rikino","1997-11-16","9999-01-01"
83280,"Senior Engineer","Francesca","Ellozy","1999-08-08","9999-01-01"
83289,"Senior Engineer","Shigeichiro","Engelmann","2000-01-09","9999-01-01"
83509,"Senior Engineer","Breannda","Collavizza","1994-10-12","9999-01-01"
83544,"Senior Staff","Leaf","Baak","2001-09-05","9999-01-01"
83714,"Senior Engineer","Ohad","Kilgore","1997-07-01","9999-01-01"
83805,"Senior Engineer","Manohar","Harllee","1987-03-11","9999-01-01"
83922,"Senior Engineer","Shunichi","Solovay","1995-06-07","1998-11-18"
83941,"Senior Staff","Zsolt","Hagimont","2001-10-08","9999-01-01"
84029,"Staff","Babette","Eugenio","1997-09-21","9999-01-01"
84163,"Senior Staff","Zejun","Roisin","1997-05-26","2002-01-16"
84179,"Senior Engineer","Shuichi","Nanard","1989-03-14","9999-01-01"
84236,"Senior Staff","Eberhardt","Barriga","1993-06-03","9999-01-01"
84256,"Staff","Denny","Cheshire","1989-11-23","1992-08-08"
84315,"Assistant Engineer","Kristina","Baumann","1996-09-26","9999-01-01"
84451,"Senior Engineer","Shiv","Aumann","1998-06-14","9999-01-01"
84494,"Staff","Janalee","Loncour","1986-04-12","1987-09-04"
84508,"Engineer","Tommaso","Vidya","1998-05-02","9999-01-01"
84840,"Staff","Sverrir","Neimat","1996-11-03","9999-01-01"
84922,"Engineer","Parke","Unno","1996-07-01","9999-01-01"
84942,"Technique Leader","Shin","Fujisaki","1988-02-23","9999-01-01"
85216,"Senior Staff","Ferdinand","Rosiles","1997-07-08","9999-01-01"
85288,"Senior Engineer","Younwoo","Luders","2002-03-31","9999-01-01"
85414,"Staff","Chiradeep","Callaway","1999-07-30","9999-01-01"
85445,"Staff","Yongdong","Pollock","1998-03-17","9999-01-01"
85702,"Engineer","Udi","Merks","1997-08-15","9999-01-01"
85874,"Senior Staff","Pasqua","Taubman","1986-06-23","9999-01-01"
86213,"Senior Staff","Kristine","Clemencon","1996-04-21","9999-01-01"
86324,"Senior Engineer","Maia","Berstel","1993-07-17","2002-01-13"
86354,"Senior Engineer","Ronghao","Segond","1993-09-13","9999-01-01"
86422,"Senior Staff","Jaewon","Thummel","1992-09-14","9999-01-01"
86546,"Senior Engineer","Oldrich","Woycyznski","1990-05-15","9999-01-01"
86655,"Engineer","Zhenhua","Lorys","1995-08-21","9999-01-01"
86672,"Staff","JoAnne","Anido","1995-09-15","9999-01-01"
87129,"Staff","Keung","Neiman","1997-04-13","9999-01-01"
87353,"Senior Engineer","Quingbo","Coombs","1999-01-17","9999-01-01"
87458,"Senior Staff","Mikhail","Gimbel","1993-12-22","1999-04-29"
87714,"Engineer","Khun","Janetzko","1998-09-13","9999-01-01"
87729,"Senior Staff","Yongmin","Roccetti","1991-12-10","9999-01-01"
87783,"Senior Engineer","Conor","Thorensen","1988-02-24","9999-01-01"
88103,"Senior Staff","Goo","Bresenham","1999-01-31","9999-01-01"
88357,"Staff","Manohar","Karcich","1998-08-07","2000-08-22"
88411,"Engineer","Lena","Cannane","2000-01-28","9999-01-01"
88422,"Technique Leader","Jungsoon","Birsak","1985-04-03","9999-01-01"
88647,"Engineer","Vasiliy","Ratnaker","1995-08-09","9999-01-01"
88958,"Senior Staff","Vojin","Coombs","2002-07-23","9999-01-01"
88965,"Engineer","Mang","Hedayat","1995-05-22","9999-01-01"
89048,"Senior Engineer","Otmar","Birjandi","1992-03-23","9999-01-01"
89090,"Senior Staff","Tetsushi","Theuretzbacher","1995-02-01","9999-01-01"
89161,"Senior Staff","Conal","Yetto","1999-01-12","9999-01-01"
89207,"Senior Staff","Along","Erol","1999-10-17","9999-01-01"
89346,"Engineer","Mansur","Comyn","1999-08-31","9999-01-01"
89487,"Engineer","Kazuhira","Seiwald","1995-03-25","1999-03-24"
89590,"Senior Staff","Guther","Rothenberg","2000-08-07","9999-01-01"
89664,"Staff","Pranjal","Rossi","1998-07-07","9999-01-01"
89680,"Senior Engineer","Aiman","Mawatari","1997-05-01","9999-01-01"
89806,"Senior Engineer","Xiadong","Shinomoto","2002-05-24","9999-01-01"
89922,"Senior Engineer","Alexius","Ibel","1993-04-24","9999-01-01"
89941,"Senior Staff","Arnould","Weedman","1989-07-28","9999-01-01"
90077,"Engineer","Vivian","Guerreiro","1998-07-08","9999-01-01"
90084,"Senior Engineer","Renny","Bale","1996-11-22","9999-01-01"
90116,"Assistant Engineer","Brigham","Luiz","1990-04-10","1995-06-10"
90211,"Engineer","Bader","Denis","1997-10-06","9999-01-01"
90292,"Senior Engineer","Koichi","Assaf","1998-05-26","9999-01-01"
90366,"Senior Staff","Magy","Eiron","1998-08-03","2002-03-03"
90518,"Senior Staff","Fumiko","Chepyzhov","1997-01-27","9999-01-01"
90614,"Engineer","Yonghoan","Trogemann","1997-09-23","9999-01-01"
90692,"Senior Staff","Rajmohan","DasSarma","1990-09-14","9999-01-01"
91172,"Senior Staff","Kazuhisa","Melter","1993-07-15","9999-01-01"
91182,"Senior Engineer","Lucien","Schwartzburd","1994-08-25","9999-01-01"
91229,"Senior Engineer","Yahiko","Hebden","2001-10-03","9999-01-01"
91256,"Staff","Gunilla","Milicic","1998-01-09","9999-01-01"
91308,"Senior Engineer","Remmert","Plumb","1993-06-14","1995-12-08"
91333,"Staff","Lobel","Stafford","1998-11-29","9999-01-01"
91415,"Senior Staff","Jamaludin","Nilsson","1994-01-15","9999-01-01"
91462,"Engineer","Siamak","Janocha","1997-08-26","1998-03-21"
91648,"Senior Staff","Dmitry","Msuda","1997-10-22","9999-01-01"
91934,"Engineer","Nikolaus","Swen","2000-01-28","2002-07-03"
91973,"Senior Engineer","Jianwen","Jakobus","1998-08-24","2001-02-12"
92438,"Senior Engineer","Aria","Kilgore","1996-02-28","9999-01-01"
92443,"Senior Staff","Girolamo","Bellmore","1996-12-04","2000-04-27"
92454,"Senior Engineer","Visit","McFarlan","1996-10-21","9999-01-01"
92577,"Assistant Engineer","Zhanqiu","Farrow","1999-01-10","9999-01-01"
92598,"Assistant Engineer","Ranga","Merro","1996-05-11","9999-01-01"
92685,"Senior Staff","Mang","Atchley","1995-06-07","9999-01-01"
92841,"Senior Staff","Claude","Candan","1993-08-04","9999-01-01"
92846,"Senior Staff","Anyuan","Kropatsch","1993-09-05","9999-01-01"
92920,"Senior Engineer","Huei","Hutter","2000-01-29","9999-01-01"
93040,"Senior Engineer","Jaques","Kabayashi","1992-03-13","9999-01-01"
93220,"Senior Engineer","Richara","Walston","1996-08-27","9999-01-01"
93278,"Senior Engineer","Magdalena","Penn","2002-01-04","9999-01-01"
93549,"Senior Staff","Arie","Coullard","1998-04-15","9999-01-01"
93600,"Technique Leader","Kristina","Neimat","1988-04-18","9999-01-01"
93794,"Senior Engineer","Rimli","Werthner","2000-05-26","2000-12-30"
94045,"Senior Engineer","Gift","Brender","1996-10-31","2000-01-02"
94131,"Staff","Bernardo","Vasanthakumar","1997-05-01","1997-07-20"
94331,"Technique Leader","Ramzi","Cronau","1999-09-03","9999-01-01"
94416,"Senior Staff","Aran","Cesareni","1990-02-10","9999-01-01"
94442,"Staff","Bilhanan","Marrakchi","1998-02-03","2000-10-12"
94690,"Staff","Kazuyasu","Sridhar","1999-12-22","2001-12-03"
94761,"Senior Engineer","Hitofumi","Zaccaria","1997-11-22","9999-01-01"
94787,"Staff","Shigenori","Stanfel","1993-04-25","1999-12-11"
94944,"Senior Engineer","Heping","Matheson","1997-06-24","9999-01-01"
95181,"Staff","Yishai","Cappelli","1997-01-30","9999-01-01"
95286,"Senior Engineer","Kristin","Guerreiro","1997-08-23","9999-01-01"
95314,"Senior Staff","Rasiah","Koblick","1999-08-21","9999-01-01"
95406,"Engineer","Alair","Lyonns","1997-07-12","9999-01-01"
95416,"Engineer","Gianluca","Ramaiah","1993-11-29","9999-01-01"
95509,"Engineer","Kristinn","Loncour","1995-02-08","9999-01-01"
95692,"Engineer","Abdulah","Hofstetter","1999-11-24","2000-07-24"
95920,"Senior Staff","Nobuyoshi","Hegner","2001-09-07","9999-01-01"
96100,"Senior Engineer","Pranay","Rebaine","1998-02-01","2000-12-31"
96571,"Senior Engineer","Kokou","Garrabrants","1997-11-05","9999-01-01"
96579,"Engineer","Mohan","Tasistro","1996-02-10","9999-01-01"
96767,"Senior Engineer","Arumugam","Vecchio","1992-08-14","9999-01-01"
97018,"Senior Engineer","Jeanna","Chinen","1994-01-01","9999-01-01"
97092,"Senior Engineer","Anwar","Riexinger","1997-12-30","2000-01-09"
97623,"Senior Staff","Haldon","Janetzko","1996-09-10","9999-01-01"
97661,"Senior Staff","Avishai","Hegner","2002-05-08","9999-01-01"
97697,"Senior Engineer","Moie","Karunanithi","1995-02-07","2000-12-15"
98288,"Senior Staff","Sumali","Huttel","1997-09-12","9999-01-01"
98306,"Senior Engineer","Ziya","Kadhim","1995-11-02","9999-01-01"
98514,"Staff","Giao","Junot","1999-07-01","2002-02-25"
98639,"Staff","Florina","Assaf","1996-05-18","9999-01-01"
99057,"Staff","Shugo","Reeken","1999-06-21","9999-01-01"
99373,"Senior Staff","Xiaobin","Christianini","1991-12-25","9999-01-01"
99377,"Senior Engineer","Carrsten","Francisci","1991-06-16","9999-01-01"
99590,"Staff","Dhritiman","Anily","1998-12-16","9999-01-01"
99654,"Senior Staff","Mahendra","Motley","1992-09-28","9999-01-01"
100865,"Senior Engineer","Hisao","Peral","1998-10-03","9999-01-01"
100877,"Engineer","Kazuhide","Harnett","1995-02-02","1999-02-13"
100916,"Senior Engineer","Heejo","Aamodt","2001-04-22","9999-01-01"
101063,"Senior Engineer","Nectarios","Munos","1994-08-31","1995-08-14"
101487,"Senior Staff","Abdelaziz","Sury","1999-01-31","9999-01-01"
101647,"Senior Staff","Mori","Homond","2000-05-09","9999-01-01"
101902,"Senior Staff","Mantis","Millington","1997-03-17","9999-01-01"
102620,"Engineer","Adin","Templeman","1997-12-10","9999-01-01"
103166,"Senior Engineer","Waiman","Dalton","1999-05-25","2002-02-09"
103172,"Senior Engineer","Doowon","Highland","1995-03-09","1995-11-23"
103196,"Senior Staff","Djenana","Albarhamtoshy","1993-07-16","9999-01-01"
103310,"Senior Staff","Visit","Swen","2000-10-01","9999-01-01"
103316,"Senior Engineer","Susanne","Peternell","1999-07-27","9999-01-01"
103342,"Engineer","Beshir","Hellwagner","1998-02-03","9999-01-01"
103756,"Engineer","Heping","Halloran","2001-04-08","9999-01-01"
104133,"Senior Staff","Pranjal","Zyda","1998-07-03","9999-01-01"
104845,"Senior Staff","Werner","Lodder","1998-06-17","9999-01-01"
104962,"Engineer","Zongyan","Auyong","1987-11-02","1991-12-22"
104988,"Senior Engineer","Parviz","Litzler","1999-08-09","9999-01-01"
105191,"Engineer","Jaber","Kleiser","1986-12-13","1987-09-22"
105342,"Technique Leader","Kwun","Reeker","1999-07-29","9999-01-01"
105356,"Senior Engineer","Diederik","Matzov","1996-05-12","9999-01-01"
105432,"Senior Engineer","Mohamadou","Stafford","2000-09-11","9999-01-01"
105520,"Senior Staff","Haldun","Lienhardt","1987-01-29","9999-01-01"
105589,"Engineer","Yechiam","Egerstedt","1995-12-31","1999-07-18"
105731,"Engineer","Sachem","Cromarty","1996-08-19","9999-01-01"
105936,"Staff","Vidar","Thibadeau","1995-03-02","1999-09-15"
106096,"Senior Engineer","Naftali","Schurmann","1999-12-03","9999-01-01"
106242,"Senior Staff","Nevio","Thisen","1994-03-25","9999-01-01"
106514,"Senior Engineer","Otilia","Speek","1988-07-30","1992-11-07"
106695,"Senior Staff","Lijie","Garrabrants","1990-10-02","9999-01-01"
106710,"Senior Staff","Babette","Anandan","1993-11-22","9999-01-01"
106958,"Senior Engineer","Horward","Begiun","1992-11-06","2002-05-22"
107486,"Senior Engineer","Siamak","Luiz","1987-02-11","9999-01-01"
107737,"Senior Engineer","Fabrizio","Chleq","1999-07-31","9999-01-01"
107792,"Senior Staff","Shahab","Crooks","2001-03-18","9999-01-01"
107828,"Senior Staff","Ramya","Walston","1995-02-03","9999-01-01"
108091,"Senior Staff","Hisao","Ghemri","1990-11-14","9999-01-01"
108198,"Senior Staff","Randi","Samarati","1999-10-21","9999-01-01"
108316,"Senior Engineer","Shai","Stellhorn","1992-05-21","9999-01-01"
108988,"Senior Staff","Oksana","Baek","1997-07-20","9999-01-01"
109062,"Senior Engineer","Jamaludin","Kandlur","1992-06-19","9999-01-01"
109211,"Senior Engineer","Gor","Delgrande","2001-11-06","9999-01-01"
109252,"Technique Leader","Moty","Winter","1991-04-28","9999-01-01"
109278,"Senior Staff","Bangqing","Schach","1996-03-22","9999-01-01"
109547,"Senior Staff","Chenye","Zizka","1994-02-22","2002-04-21"
109552,"Engineer","Menkae","Etalle","2002-05-21","9999-01-01"
109553,"Staff","Xiaobin","DuBourdieux","1985-09-16","1988-05-11"
109598,"Senior Staff","Stamatina","Auyong","1988-07-05","9999-01-01"
109611,"Staff","Jamaludin","Lalonde","1994-07-09","1998-08-24"
109620,"Senior Staff","Mani","Cannata","1995-06-21","9999-01-01"
109652,"Senior Staff","Huan","Perko","1993-07-31","1999-03-12"
109703,"Engineer","Arco","Walston","1999-08-16","9999-01-01"
109741,"Senior Engineer","Hatem","Fadgyas","1991-11-13","9999-01-01"
109953,"Senior Staff","Godehard","Chorvat","1996-04-10","9999-01-01"
200052,"Senior Engineer","Slavian","Cincotta","1992-05-30","1997-07-07"
200176,"Senior Staff","Shahab","Luit","1994-11-20","1997-02-05"
200267,"Senior Staff","Chuanti","Luff","2000-09-20","9999-01-01"
200312,"Senior Engineer","Akemi","Fujisaki","1998-06-25","9999-01-01"
200363,"Senior Engineer","Kirk","Quaggetto","1995-06-30","9999-01-01"
200735,"Senior Staff","Dinah","Denos","2001-09-21","9999-01-01"
200789,"Senior Staff","Susumu","Camurati","1997-12-14","9999-01-01"
201180,"Assistant Engineer","Odinaldo","Bridgland","1989-06-09","1995-06-16"
201229,"Staff","Alejandra","Khasidashvili","1994-07-30","9999-01-01"
201708,"Senior Staff","Anneli","Perl","2000-09-08","9999-01-01"
201709,"Senior Staff","Fan","Kakkad","1993-02-24","9999-01-01"
201739,"Assistant Engineer","Genta","Terekhov","1998-07-21","9999-01-01"
201801,"Senior Engineer","Waiman","Genin","1995-10-30","9999-01-01"
201915,"Senior Engineer","Sudharsan","DeMori","1997-03-30","9999-01-01"
202031,"Engineer","Annemarie","Peternell","1994-03-13","1997-06-05"
202291,"Engineer","Ortrun","Schmiedel","1997-07-18","9999-01-01"
202403,"Engineer","Gully","Perko","1999-07-07","9999-01-01"
202414,"Senior Staff","Zvonko","Murthy","1992-01-07","9999-01-01"
202552,"Senior Engineer","Morris","Saoudi","1998-11-22","9999-01-01"
202581,"Staff","Dharmaraja","Merlo","1987-06-05","1990-12-16"
202826,"Senior Engineer","Kerhong","Matzke","1993-11-14","9999-01-01"
202882,"Senior Engineer","Isaac","Koshino","1995-09-28","9999-01-01"
202950,"Senior Staff","Giordano","Pietrzykowski","1987-03-26","9999-01-01"
203474,"Senior Staff","Hugh","Jonsson","1997-07-05","9999-01-01"
203495,"Technique Leader","Zongyan","Gips","1997-05-31","9999-01-01"
203599,"Technique Leader","Ewing","DiGiano","2000-02-01","9999-01-01"
203697,"Engineer","Claude","Kemmerer","1994-01-16","2001-05-07"
203720,"Senior Staff","Sasan","Thimonier","1996-08-21","9999-01-01"
203946,"Senior Staff","Yefim","Marwedel","1999-03-30","9999-01-01"
204117,"Staff","Jessie","Nooteboom","1999-08-13","9999-01-01"
204133,"Senior Staff","Susuma","Bergere","1996-02-25","9999-01-01"
204246,"Senior Staff","Arve","Worfolk","1990-04-01","9999-01-01"
204425,"Senior Engineer","Gretta","Huttel","1990-10-08","9999-01-01"
204470,"Senior Staff","Hein","Lichtner","2001-04-02","9999-01-01"
204471,"Senior Engineer","Franziska","Maginnis","1992-02-17","9999-01-01"
204764,"Senior Engineer","Susanne","Mandelberg","1996-11-01","9999-01-01"
205018,"Engineer","Yahiko","Awdeh","1998-08-05","9999-01-01"
205085,"Technique Leader","Moni","Kornyak","1991-09-26","9999-01-01"
205174,"Staff","Leszek","Spinelli","1998-12-10","9999-01-01"
205362,"Staff","Masasuke","Makinen","1992-07-02","1997-06-01"
205500,"Senior Engineer","Mary","Setiz","1989-01-13","9999-01-01"
205627,"Senior Engineer","Stabislas","Broder","2001-07-16","9999-01-01"
205660,"Staff","Kien","Barreiro","1997-08-25","9999-01-01"
205699,"Senior Staff","Youjian","Yetto","2000-12-06","9999-01-01"
205789,"Senior Staff","Limsoon","Skafidas","1999-08-10","9999-01-01"
205863,"Senior Engineer","Aiichiro","Kusalik","1996-10-03","9999-01-01"
206372,"Engineer","Temple","Joslin","1993-01-05","1996-04-24"
206748,"Staff","Yucai","Fabrizio","1999-10-06","9999-01-01"
206836,"Senior Staff","Guadalupe","Pfau","2001-03-22","9999-01-01"
206865,"Senior Engineer","Vasilii","Cochrane","1996-09-12","2001-04-23"
206966,"Senior Engineer","Tzu","Sichman","1992-11-16","9999-01-01"
207021,"Engineer","Jacqueline","Akaboshi","1997-12-06","9999-01-01"
207068,"Senior Staff","Zhiguo","Ariola","1994-09-07","9999-01-01"
207204,"Engineer","Kellie","Schrooten","1999-01-17","9999-01-01"
207401,"Senior Staff","Shuji","Barbanera","1993-08-09","9999-01-01"
207551,"Assistant Engineer","Baziley","Falck","1995-02-18","9999-01-01"
207779,"Senior Staff","Chinya","Kamble","1992-05-31","9999-01-01"
207980,"Senior Staff","Remko","Vieth","1999-11-22","9999-01-01"
208147,"Senior Engineer","Manu","Rothenberg","1995-12-07","9999-01-01"
208330,"Senior Staff","Shen","Flanders","1997-07-03","9999-01-01"
208639,"Senior Staff","Larisa","Lukaszewicz","1994-10-10","9999-01-01"
208653,"Senior Engineer","Phillip","Schade","1998-03-03","9999-01-01"
208784,"Senior Engineer","Pranjal","Juneja","1985-03-21","9999-01-01"
209101,"Senior Engineer","Xinyu","Edelhoff","1997-10-26","9999-01-01"
209443,"Senior Staff","Krassimir","Garnier","1998-01-26","9999-01-01"
209456,"Engineer","Adhemar","Leonhardt","1998-11-01","1999-12-30"
209565,"Senior Staff","Dante","Covnot","1998-05-28","9999-01-01"
209681,"Senior Staff","Tianruo","Bratten","1996-07-28","1998-04-03"
209712,"Engineer","Nimmagadda","Baak","1995-10-30","9999-01-01"
209945,"Engineer","Roded","Veevers","1990-10-23","1996-01-08"
210017,"Senior Staff","Shalesh","Lovengreen","1996-09-28","9999-01-01"
210292,"Staff","Lihong","Zeilberger","1996-04-28","9999-01-01"
210449,"Engineer","Gino","Lagarias","1997-06-22","9999-01-01"
210529,"Senior Staff","Adam","Besancenot","1990-09-27","1995-02-04"
210610,"Engineer","Arco","Crouzet","2000-09-02","2000-09-30"
210752,"Senior Staff","Saniya","Stenning","1991-12-10","9999-01-01"
210786,"Staff","Werner","Ranze","1998-06-05","9999-01-01"
211569,"Senior Staff","Zhonghua","Snyers","1994-10-08","1999-07-18"
211858,"Senior Engineer","Domenico","Ratnaker","1993-03-24","9999-01-01"
211879,"Senior Engineer","Gao","Ranze","1999-11-24","9999-01-01"
211967,"Senior Engineer","Anwar","Bain","1998-01-22","9999-01-01"
212074,"Engineer","Tomokazu","Byoun","1996-07-30","2002-04-08"
212093,"Senior Staff","Leni","Henders","1999-11-19","9999-01-01"
212131,"Staff","Debatosh","Rajala","1994-01-19","1994-04-22"
212154,"Senior Staff","Sailaja","Holburn","1997-03-03","9999-01-01"
212361,"Senior Engineer","Claudi","Stanfel","2001-01-06","9999-01-01"
212703,"Engineer","Kien","Bennis","1993-01-06","1998-03-14"
212810,"Senior Staff","Qingxiang","Swan","1997-10-04","2002-03-13"
213016,"Senior Engineer","Yongmao","Fontan","1998-07-26","9999-01-01"
213140,"Staff","Tru","Danecki","1997-03-31","9999-01-01"
213384,"Senior Engineer","Pranas","Narwekar","1993-09-26","9999-01-01"
213447,"Senior Engineer","Armond","Perly","1996-09-14","9999-01-01"
214184,"Engineer","Sivanarayana","Ranka","1999-10-25","2001-05-03"
214215,"Senior Staff","Xiaoqiang","Cardazo","1993-05-28","9999-01-01"
214391,"Senior Staff","Rayond","Klassen","1999-09-11","9999-01-01"
214427,"Engineer","Peer","Molberg","1996-11-17","9999-01-01"
214539,"Engineer","Ingmar","Kohling","1995-04-25","9999-01-01"
214634,"Senior Engineer","Shirish","Vickson","1997-10-24","9999-01-01"
214789,"Senior Engineer","Arfst","Chepyzhov","1997-02-06","9999-01-01"
214807,"Engineer","Prasadram","Qiwen","1997-09-04","1997-11-25"
214866,"Senior Engineer","Gopalakrishnan","Angel","2002-07-05","9999-01-01"
214995,"Engineer","Dinkar","Hoppenstand","1994-05-04","9999-01-01"
215419,"Staff","Flemming","Kroha","1995-01-23","9999-01-01"
215629,"Senior Staff","Munehiro","Manders","1995-05-18","9999-01-01"
215746,"Staff","Sven","Speer","1999-07-08","9999-01-01"
215843,"Senior Staff","Pramod","Loncour","1993-03-30","9999-01-01"
216054,"Senior Staff","Sahrah","Angiulli","1991-07-31","9999-01-01"
216062,"Senior Engineer","Shuichi","Anick","1992-11-24","1999-10-26"
216246,"Staff","Francoise","Rullman","1997-12-30","2000-01-12"
216342,"Senior Engineer","Aiichiro","Cromarty","2000-06-09","9999-01-01"
216375,"Senior Engineer","Byong","Gustavson","1985-03-12","9999-01-01"
216502,"Engineer","Xiaocheng","Suermann","1997-12-15","9999-01-01"
216573,"Senior Engineer","Ashish","Vidya","1995-06-16","9999-01-01"
216921,"Senior Staff","Lena","Lenart","1995-12-25","9999-01-01"
217026,"Senior Staff","Otmar","Engberts","1998-08-16","9999-01-01"
217080,"Senior Engineer","Masami","Puoti","2000-01-21","9999-01-01"
217272,"Senior Staff","Yuchang","Eldridge","1991-08-01","9999-01-01"
217286,"Technique Leader","Yannik","Spelt","1992-09-22","9999-01-01"
217320,"Engineer","Abdelwaheb","Denis","1993-09-10","9999-01-01"
217363,"Staff","Horward","Marzano","1996-04-11","9999-01-01"
217387,"Senior Engineer","Jianhao","Molenaar","1994-10-22","9999-01-01"
217551,"Senior Engineer","Panayotis","Lukaszewicz","1995-06-06","9999-01-01"
217800,"Senior Staff","Shay","Servieres","1998-08-06","9999-01-01"
218022,"Technique Leader","Mokhtar","Poupard","1992-02-02","9999-01-01"
218100,"Senior Staff","Jiong","Garnham","1999-01-02","9999-01-01"
218299,"Senior Staff","Almudena","Genin","1993-09-26","2001-11-06"
218829,"Staff","Eckart","Foong","1989-11-26","1996-01-28"
218831,"Engineer","Unal","DuBourdieux","1996-03-13","9999-01-01"
219035,"Technique Leader","Kristine","Bierman","1988-05-13","9999-01-01"
219047,"Senior Engineer","Aemilian","Kusalik","1995-05-27","9999-01-01"
219052,"Staff","Marsal","Acton","1995-08-02","9999-01-01"
219417,"Staff","Subhrajyoti","Denna","1996-07-25","9999-01-01"
219497,"Technique Leader","Moie","Zastre","1991-10-11","9999-01-01"
219967,"Senior Staff","Susanna","Reeken","1998-03-16","9999-01-01"
220029,"Senior Engineer","Demos","Asser","1985-11-04","9999-01-01"
220131,"Senior Engineer","Reinhard","Slaats","1999-06-08","9999-01-01"
220418,"Staff","Poorav","Laventhal","1997-08-16","9999-01-01"
